n,m,PUB:P,PUB:EV,PUB:MS,RET:P,RET:EV,RET:MS,Total
3,3,7.081,4.8,4.789,10.897,4.776,4.812,37.15810040012002
3,3,7.229,4.857,5.002,11.279,5.078,4.795,38.2385541840146
3,3,7.328,4.889,4.929,11.171,4.852,4.771,37.94570849277079
3,3,7.34,4.898,4.829,11.297,4.932,4.818,38.11796583856146
3,3,7.622,4.896,4.991,12.363,4.889,6.696,41.44912647704283
3,3,7.553,4.866,4.927,11.606,4.905,4.791,38.655000894020006
3,3,7.573,4.914,5.041,11.368,4.903,4.811,38.61652469883363
3,3,8.836,4.883,4.869,10.732,4.828,4.807,38.95243474592765
3,3,7.054,4.828,4.795,10.808,4.839,4.765,37.09298628382385
3,3,7.153,4.815,4.873,11.258,4.833,4.799,37.73274249397218
3,3,7.417,4.808,4.791,11.105,4.847,4.808,37.77950652875006
3,3,7.615,4.974,4.87,11.308,5.028,4.905,38.705414083475866
3,3,7.558,4.989,4.966,11.668,9.156,4.78,43.131891249989465
3,3,7.582,4.9,4.792,11.36,4.896,5.328,38.86475577019155
3,3,8.604,4.864,4.912,11.601,4.923,5.195,40.11120631669958
3,3,13.755,8.463,8.319,17.791,8.399,8.292,65.06715404490629
3,3,7.145,4.856,4.806,10.802,4.903,4.76,37.27477105955283
3,3,7.17,4.798,4.783,10.805,4.82,4.789,37.15513056765
3,3,7.225,4.821,4.806,11.029,4.829,4.749,37.469501296679184
3,3,7.366,4.865,4.814,11.143,4.847,4.798,37.84406751704712
3,3,8.096,4.83,4.839,11.215,4.916,4.804,38.707820388178035
3,3,7.523,4.885,4.93,11.487,4.91,4.795,38.5381372179836
3,3,7.675,4.91,4.857,11.482,4.948,4.786,38.6706693097949
3,3,13.953,8.381,8.248,18.284,8.348,8.371,65.64160839964947
3,3,11.985,8.465,8.399,18.246,8.361,8.247,63.70893307030201
3,3,11.738,8.422,8.261,18.752,8.393,8.215,63.78972328578432
3,3,12.758,8.474,8.671,18.566,8.415,8.268,65.15860022045672
3,3,12.127,8.463,8.229,19.052,8.694,8.299,64.87809866666794
3,3,12.526,8.469,8.4,19.061,8.47,8.262,65.22114062681794
3,3,12.936,8.485,8.363,16.143,8.526,5.094,59.55515522509813
3,3,7.93,4.906,5.16,14.013,5.934,5.769,43.71933227715393
3,3,8.786,4.811,4.809,10.628,4.759,4.749,38.57626820293565
3,3,7.007,4.779,4.77,10.667,4.778,4.747,36.754607378194734
3,3,7.05,4.815,4.767,10.796,4.772,4.73,36.93919535726309
3,3,7.343,4.884,4.797,11.028,4.855,4.756,37.66902885399759
3,3,7.36,4.836,4.808,12.323,4.847,4.826,39.012972808753446
3,3,7.584,4.902,4.894,11.656,4.984,5.053,39.07748870551586
3,3,7.62,4.887,4.849,13.069,4.892,4.811,40.13491794466972
3,3,7.611,4.881,4.794,14.489,4.913,5.048,41.740889816234514
3,3,8.732,4.797,4.871,10.723,4.833,4.772,38.7605851671348
3,3,7.109,4.944,4.797,10.804,5.323,4.788,37.77868680966397
3,3,9.286,4.904,4.842,10.96,4.84,4.839,39.68952223658562
3,3,7.225,4.813,4.805,11.032,4.807,4.792,37.486496536682054
3,3,7.329,4.866,4.812,11.153,5.022,4.802,37.991758358354375
3,3,7.449,4.922,4.839,11.316,4.882,5.365,38.77304261550307
3,3,7.532,4.881,4.798,11.251,4.888,4.8,38.16186947127183
3,3,7.573,4.89,4.836,11.41,4.919,4.762,38.39986538514495
3,3,8.674,4.825,5.315,17.758,8.311,8.213,53.16029116511345
3,3,7.148,4.832,5.013,10.924,4.854,4.789,37.570121232420206
3,3,7.21,4.866,4.811,10.974,4.83,4.811,37.50768583267927
3,3,7.262,4.807,4.843,11.099,4.844,4.813,37.673948255057134
3,3,7.45,4.868,4.843,11.3,4.889,4.92,38.27697465506693
3,3,7.526,4.875,4.9,11.5,4.891,4.777,38.470376205320164
3,3,7.575,4.912,4.83,11.31,4.891,4.823,38.348569689939424
3,3,7.646,4.908,4.823,11.449,4.938,4.816,38.575806732599936
3,3,14.037,8.382,8.313,18.151,8.431,8.317,65.67942646021645
3,3,11.63,8.392,8.291,18.384,8.408,8.252,63.35764680989086
3,3,11.698,8.446,8.334,18.656,8.451,8.347,63.93778355171283
3,3,11.891,8.541,7.036,11.307,4.854,4.775,48.409737491359316
3,3,7.308,4.862,4.927,11.105,4.89,4.792,37.88915447269877
3,3,7.901,4.877,4.944,11.242,4.923,4.802,38.69964508339763
3,3,7.609,4.888,4.824,11.344,4.901,4.821,38.393652221808836
3,3,7.74,4.883,4.813,11.42,4.923,4.776,38.56176704478761
3,3,8.315,4.916,4.822,11.516,4.946,4.774,39.28323664392034
3,3,7.8,4.899,4.833,11.622,4.947,4.789,38.879826820145055
3,3,7.913,5.034,4.878,11.652,4.947,4.783,39.21218154331048
3,3,7.952,4.96,4.827,14.658,7.074,8.091,47.58954211138189
3,3,8.912,4.999,4.787,11.92,5.005,4.788,40.4160146911939
3,3,10.854,4.994,7.739,14.013,5.163,6.446,49.21488859690726
3,3,8.455,5.025,5.05,12.224,5.048,4.8,40.60545936226845
3,3,8.291,5.076,4.869,12.255,5.048,5.096,40.641561460991696
3,3,7.77,4.936,4.818,11.522,4.925,4.77,38.74468710273504
3,3,7.799,4.947,4.821,11.604,4.92,4.781,38.8762685470283
3,3,7.874,4.94,4.793,11.7,4.936,4.879,39.12554619212945
3,3,8.123,4.951,4.786,12.027,4.973,4.963,39.83670573992033
3,3,8.935,4.997,4.812,11.978,5.018,4.786,40.53378850221634
3,3,8.208,4.991,5.431,16.724,5.103,6.208,46.681043691933155
3,3,9.178,5.1,5.409,13.751,5.088,4.921,43.43731041687231
3,3,8.595,5.3,5.049,12.239,5.298,4.896,41.379413645093635
3,3,7.795,4.934,4.828,11.563,4.905,4.772,38.80492830649018
3,3,7.946,4.944,5.068,11.651,4.97,4.787,39.375423531358436
3,3,7.896,4.973,4.834,11.76,4.962,4.774,39.20901659876108
3,3,8.001,4.92,4.84,12.343,4.986,4.855,39.956965018063784
3,3,8.171,4.971,4.795,11.92,5.172,4.807,39.8455251318713
3,3,8.126,5.071,4.974,12.534,5.018,5.672,41.40456152769427
3,3,9.65,5.218,4.999,12.904,5.06,4.78,42.62142349034548
3,3,8.499,5.073,4.856,12.213,5.115,4.881,40.646578573311366
3,3,8.575,4.948,4.803,11.551,4.938,4.807,39.63158093392849
3,3,7.838,4.958,4.849,11.656,4.946,4.787,39.04122447905441
3,3,7.837,4.967,4.794,11.702,4.957,5.014,39.28139014169574
3,3,8.079,5.006,4.804,11.805,4.971,5.101,39.77493786563476
3,3,8.698,4.981,4.895,11.934,4.995,4.762,40.27373669669032
3,3,8.228,5.015,4.946,12.467,5.061,5.299,41.027722104142114
3,3,8.505,5.087,5.24,12.224,5.012,4.789,40.86648502076666
3,3,8.381,5.067,4.85,12.16,5.119,4.794,40.38049404819806
3,3,9.298,4.963,5.984,13.929,5.864,5.854,45.90408674751719
3,3,9.542,6.058,5.664,13.054,6.104,4.794,45.29823549091816
3,3,7.907,4.927,4.84,11.728,4.962,4.765,39.12282991223037
3,3,8.232,4.964,4.941,11.932,4.979,5.133,40.19111689801017
3,3,8.028,5.024,4.81,15.511,4.983,6.148,44.5175562830021
3,3,9.398,4.99,5.16,13.72,5.037,5.205,43.53429268424709
3,3,9.597,5.02,4.811,12.157,5.207,4.833,41.63006328356763
3,3,8.321,5.036,4.787,12.39,5.03,5.005,40.56375427171588
3,3,7.908,5.005,4.872,11.676,5.096,4.888,39.45244592614472
3,3,9.781,5.296,5.346,11.91,5.027,4.837,42.203824113433555
3,3,8.051,5.06,4.898,12.796,5.09,5.552,41.454315884038806
3,3,9.88,6.125,5.519,20.613,8.626,8.247,59.01919677853584
3,3,13.407,8.915,8.646,13.021,5.002,5.178,54.178629303351045
3,3,8.644,4.989,7.694,12.728,5.009,4.791,43.85674279183149
3,3,8.223,5.001,4.805,12.137,5.02,4.823,40.013404097408056
3,3,9.772,5.102,6.169,14.022,5.029,5.015,45.119880155349776
3,3,7.724,4.988,4.882,11.561,4.959,4.818,38.936261320486665
3,3,7.853,4.984,4.898,11.634,4.978,4.82,39.18097509692113
3,3,8.179,5.051,4.869,11.802,4.979,4.797,39.68645903902749
3,3,8.041,4.997,4.94,12.749,5.126,5.765,41.63433704525232
3,3,8.112,5.023,4.807,11.93,4.982,4.825,39.68744926775496
3,3,8.419,5.027,5.149,14.67,7.407,5.663,46.344679625084005
3,3,9.546,5.069,5.136,12.327,5.054,4.929,42.067865608260036
3,3,8.344,5.035,4.845,12.212,5.049,4.834,40.324865452324346
3,3,8.169,4.971,4.825,11.574,4.9,4.731,39.17383588850498
3,3,7.781,4.911,4.794,11.694,4.934,4.779,38.898293705036245
3,3,7.896,4.947,4.837,11.778,4.979,4.774,39.21490046195686
3,3,7.989,4.987,4.813,12.435,4.991,4.915,40.13572346108655
3,3,8.077,4.948,4.824,12.103,4.989,4.765,39.714827590311565
3,3,8.586,4.995,5.774,13.355,5.044,5.42,43.180078035220504
3,3,9.048,5.072,5.174,13.079,5.07,4.992,42.427817514787115
3,3,8.359,5.041,4.832,12.26,5.061,4.765,40.32492870464921
3,3,8.719,5.04,4.814,11.533,4.911,4.763,39.787987867991134
3,3,7.803,4.935,4.783,11.611,4.93,4.765,38.83464238606393
3,3,8.335,4.922,4.798,11.764,4.952,4.794,39.57704268395901
3,3,7.968,4.952,4.945,15.165,4.969,5.028,43.038274316738054
3,3,13.432,8.663,8.291,20.634,8.614,8.479,68.13725495400529
3,3,13.899,8.72,8.529,14.986,5.17,4.882,56.191631515199944
3,3,8.385,5.084,4.859,12.258,5.104,4.89,40.585482493042946
3,3,8.646,5.122,5.108,13.181,5.08,4.837,41.97745638278624
3,3,12.84,8.526,8.264,19.633,8.513,8.27,66.05623732320964
3,3,12.883,8.722,8.282,19.651,8.632,8.246,66.43137979942063
3,3,9.43,5.079,5.166,13.354,4.96,4.782,42.781798013796404
3,3,8.068,4.983,4.818,11.758,4.96,5.099,39.69367081299424
3,3,11.578,5.107,7.154,12.659,5.041,4.821,46.360955806449056
3,3,8.713,5.017,6.331,12.332,5.048,4.763,42.20969144565363
3,3,8.187,5.004,4.81,13.782,5.275,5.155,42.22443141043186
3,3,8.707,5.035,5.043,14.747,5.126,4.962,43.63119152064125
3,3,7.861,4.972,4.903,11.55,5.01,4.943,39.247488214944795
3,3,7.938,5.005,4.857,11.663,5.009,4.893,39.37049466185272
3,3,7.988,5.026,4.875,11.84,5.007,4.826,39.56583638985951
3,3,8.104,5.026,5.097,12.814,5.11,5.46,41.63308309701581
3,3,8.686,4.98,4.843,11.884,5.01,4.789,40.195672850434974
3,3,9.032,4.985,5.054,15.329,5.02,5.133,44.55484286881983
3,3,9.592,5.013,5.173,12.219,5.05,4.933,41.98619560338557
3,3,8.339,5.049,4.817,12.309,5.058,4.84,40.422729682177305
3,3,7.746,5.01,4.868,11.719,4.973,4.795,39.12420043100913
3,3,8.184,5.286,4.996,11.812,5.01,5.062,40.36675331493218
3,3,7.963,4.993,4.882,11.785,5.024,4.781,39.43089597548048
3,3,8.248,4.972,4.902,12.311,5.027,5.382,40.84095583918194
3,3,9.024,5.05,4.884,12.944,5.002,6.179,43.09166960107783
3,3,9.394,5.085,5.249,12.981,5.071,6.173,43.95169431033234
3,3,8.453,5.037,5.092,12.25,5.033,4.803,40.672028049205736
3,3,8.384,5.087,4.86,12.616,5.024,5.367,41.34528889941672
3,3,7.763,4.946,4.798,11.585,4.945,4.783,38.82823473153015
3,3,7.829,4.938,4.793,11.659,4.95,4.785,38.950006787975624
3,3,7.831,4.931,4.795,11.701,4.981,4.784,39.030186366289854
3,3,7.943,4.969,5.028,12.057,4.978,4.939,39.92333527033527
3,3,14.251,8.71,8.447,18.668,8.801,8.747,67.62514961883426
3,3,12.264,5.109,4.971,12.323,5.03,5.307,45.015020916859314
3,3,8.256,5.057,4.844,12.154,5.043,4.762,40.12088353435198
3,3,8.275,5.007,4.886,12.412,5.053,4.803,40.44389771297574
3,3,7.628,4.917,4.84,11.501,4.901,4.775,38.570554383719966
3,3,7.775,4.948,4.83,11.713,4.93,4.773,38.968951208516955
3,3,7.782,4.915,4.78,11.546,4.907,4.727,38.65419297168652
3,3,7.906,4.908,4.756,13.133,4.93,5.338,40.98699094417194
3,3,8.54,5.012,4.825,12.167,5.006,4.813,40.36801991363366
3,3,8.955,5.067,5.081,13.382,5.046,5.186,42.72049215311806
3,3,9.821,5.078,4.992,12.58,5.097,4.815,42.38601696367065
3,3,8.472,5.081,4.854,12.558,5.095,4.858,40.9213356518497
3,3,7.704,4.954,4.847,11.516,4.934,4.818,38.78178067194919
3,3,7.85,4.957,4.787,11.533,4.922,4.822,38.87877644350131
3,3,7.875,4.926,4.84,11.713,4.984,4.789,39.13480377135177
3,3,7.958,4.973,5.013,19.194,8.736,8.324,54.214442226414874
3,3,13.478,8.722,8.526,16.698,7.697,4.981,60.10273533562819
3,3,9.125,5.028,5.207,12.872,5.046,4.803,42.08312571669619
3,3,8.292,5.005,4.871,12.232,5.041,4.778,40.21997842937708
3,3,8.403,4.999,5.085,12.341,5.033,5.004,40.85956878649692
3,3,7.765,4.959,4.826,12.364,4.953,4.808,39.67857531582316
3,3,8.529,5.995,4.806,11.666,4.965,4.775,40.73998526049157
3,3,7.903,4.954,4.804,11.828,4.952,4.76,39.20878392333786
3,3,8.769,4.954,4.96,11.927,5.001,5.03,40.64622094544272
3,3,8.074,4.976,4.782,11.99,4.952,4.755,39.548349411537245
3,3,9.947,5.086,4.976,13.35,5.011,5.028,43.39595410662393
3,3,9.329,5.033,4.899,12.174,4.991,4.778,41.21010610833764
3,3,8.4,5.049,4.874,12.357,5.036,5.33,41.0549813726296
3,3,7.718,5.197,4.807,11.566,4.932,4.814,39.02476692261795
