protocol,latency,hops,oob_interaction,correct
jodi,481.559,6,2,1
jodi,364.545,3,2,1
jodi,586.486,7,2,1
jodi,444.081,5,2,1
jodi,454.901,7,2,1
jodi,578.457,3,2,1
jodi,302.275,4,2,1
jodi,918.345,6,2,1
jodi,367.439,4,2,1
jodi,617.667,5,2,1
jodi,387.138,2,2,1
jodi,845.007,7,2,1
jodi,530.785,6,2,1
jodi,359.668,7,2,1
jodi,473.022,5,2,1
jodi,463.345,2,2,1
jodi,380.351,7,2,1
jodi,683.698,7,2,1
jodi,750.708,4,2,1
jodi,466.106,4,2,1
jodi,412.116,7,2,1
jodi,599.834,4,2,1
jodi,375.876,2,2,1
jodi,372.886,3,2,1
jodi,712.778,3,2,1
jodi,608.881,5,2,1
jodi,442.454,4,2,1
jodi,832.518,5,2,1
jodi,601.647,4,2,1
jodi,527.9,5,2,1
jodi,469.942,4,2,1
jodi,452.075,4,2,1
jodi,491.533,5,2,1
jodi,423.937,5,2,1
jodi,455.283,4,2,1
jodi,442.757,5,2,1
jodi,691.145,4,2,1
jodi,414.143,5,2,1
jodi,318.903,4,2,1
jodi,299.646,7,2,1
jodi,682.513,6,2,1
jodi,578.571,3,2,1
jodi,617.125,7,2,1
jodi,783.245,5,2,1
jodi,483.847,7,2,1
jodi,466.218,3,2,1
jodi,391.001,4,2,1
jodi,556.121,6,2,1
jodi,673.475,5,2,1
jodi,495.67,6,2,1
jodi,433.532,5,2,1
jodi,720.856,7,2,1
jodi,581.847,6,2,1
jodi,497.599,7,2,1
jodi,348.646,5,2,1
jodi,272.929,4,2,1
jodi,546.192,7,2,1
jodi,833.307,4,2,1
jodi,455.113,4,2,1
jodi,432.638,4,2,1
jodi,390.6,7,2,1
jodi,427.331,4,2,1
jodi,411.961,4,2,1
jodi,433.974,7,2,1
jodi,274.938,4,2,1
jodi,502.029,7,2,1
jodi,362.931,3,2,1
jodi,794.738,3,2,1
jodi,406.645,2,2,1
jodi,647.581,4,2,1
jodi,428.029,4,2,1
jodi,664.311,4,2,1
jodi,465.02,3,2,1
jodi,625.37,3,2,1
jodi,459.866,3,2,1
jodi,493.653,5,2,1
jodi,455.604,3,2,1
jodi,451.884,4,2,1
jodi,419.671,4,2,1
jodi,355.177,4,2,1
jodi,512.082,4,2,1
jodi,421.485,4,2,1
jodi,579.318,4,2,1
jodi,504.898,4,2,1
jodi,292.701,4,2,1
jodi,337.858,3,2,1
jodi,471.931,2,2,1
jodi,538.514,3,2,1
jodi,443.974,3,2,1
jodi,527.368,4,2,1
jodi,420.338,3,2,1
jodi,598.895,4,2,1
jodi,489.402,5,2,1
jodi,677.511,3,2,1
jodi,389.913,5,2,1
jodi,607.175,3,2,1
jodi,479.343,6,2,1
jodi,708.709,3,2,1
jodi,378.934,3,2,1
jodi,363.748,4,2,1
jodi,593.532,4,2,1
jodi,436.657,4,2,1
jodi,424.323,4,2,1
jodi,709.986,5,2,1
jodi,491.729,3,2,1
jodi,498.076,3,2,1
jodi,364.289,6,2,1
jodi,360.554,3,2,1
jodi,566.546,5,2,1
jodi,254.389,3,2,1
jodi,529.729,4,2,1
jodi,358.251,4,2,1
jodi,346.014,4,2,1
jodi,544.446,4,2,1
jodi,378.792,4,2,1
jodi,420.33,4,2,1
jodi,440.012,4,2,1
jodi,774.576,4,2,1
jodi,430.982,3,2,1
jodi,566.692,3,2,1
jodi,471.082,3,2,1
jodi,407.216,4,2,1
jodi,368.232,3,2,1
jodi,536.107,4,2,1
jodi,659.102,5,2,1
jodi,418.55,3,2,1
jodi,337.261,6,2,1
jodi,380.195,4,2,1
jodi,473.044,4,2,1
jodi,374.134,7,2,1
jodi,439.938,6,2,1
jodi,627.378,2,2,1
jodi,663.548,3,2,1
