protocol,latency,hops,oob_interaction,correct
oobss,317.828,4,2,1
oobss,233.864,3,2,1
oobss,269.523,5,2,1
oobss,287.827,4,2,1
oobss,420.938,5,2,1
oobss,244.697,4,2,1
oobss,387.826,6,2,1
oobss,308.105,5,2,1
oobss,362.369,3,2,1
oobss,275.299,3,2,1
oobss,313.901,4,2,1
oobss,279.573,5,2,1
oobss,393.569,4,2,1
oobss,404.359,4,2,1
oobss,291.259,4,2,1
oobss,381.413,6,2,1
oobss,357.148,4,2,1
oobss,309.427,4,2,1
oobss,199.722,3,2,1
oobss,222.13,3,2,1
oobss,305.072,3,2,1
oobss,362.121,3,2,1
oobss,278.823,5,2,1
oobss,333.832,4,2,1
oobss,379.625,5,2,1
oobss,209.185,5,2,1
oobss,323.926,5,2,1
oobss,459.808,3,2,1
oobss,232.474,3,2,1
oobss,265.33,5,2,1
oobss,162.33,4,2,1
oobss,406.742,5,2,1
oobss,349.122,5,2,1
oobss,362.213,7,2,1
oobss,254.533,5,2,1
oobss,328.495,5,2,1
oobss,490.304,4,2,1
oobss,286.329,5,2,1
oobss,356.744,4,2,1
oobss,358.042,6,2,1
oobss,288.957,4,2,1
oobss,443.119,6,2,1
oobss,437.264,4,2,1
oobss,223.0,2,2,1
oobss,363.616,6,2,1
oobss,302.541,3,2,1
oobss,383.785,6,2,1
oobss,306.779,5,2,1
oobss,166.425,4,2,1
oobss,309.485,4,2,1
oobss,358.982,3,2,1
oobss,168.008,4,2,1
oobss,498.147,6,2,1
oobss,283.158,5,2,1
oobss,347.156,2,2,1
oobss,194.324,4,2,1
oobss,512.063,5,2,1
oobss,232.073,5,2,1
oobss,396.7,2,2,1
oobss,451.081,3,2,1
oobss,248.643,4,2,1
oobss,363.234,5,2,1
oobss,402.243,4,2,1
oobss,458.517,5,2,1
oobss,303.249,3,2,1
oobss,283.042,6,2,1
oobss,296.905,2,2,1
oobss,230.148,4,2,1
oobss,405.042,5,2,1
oobss,211.455,6,2,1
oobss,359.239,3,2,1
oobss,175.694,7,2,1
oobss,224.537,5,2,1
oobss,168.886,6,2,1
oobss,299.481,5,2,1
oobss,249.578,7,2,1
oobss,236.794,5,2,1
oobss,150.763,5,2,1
oobss,330.484,3,2,1
oobss,495.71,3,2,1
oobss,311.229,6,2,1
oobss,382.805,5,2,1
oobss,292.449,4,2,1
oobss,291.082,5,2,1
oobss,406.775,5,2,1
oobss,285.345,7,2,1
oobss,262.344,2,2,1
oobss,358.224,2,2,1
oobss,180.102,3,2,1
oobss,210.108,6,2,1
oobss,155.778,6,2,1
oobss,322.399,6,2,1
oobss,223.277,7,2,1
oobss,282.244,6,2,1
oobss,268.112,6,2,1
oobss,421.296,6,2,1
oobss,225.981,6,2,1
oobss,264.613,6,2,1
oobss,416.585,5,2,1
oobss,385.157,5,2,1
oobss,413.547,6,2,1
oobss,335.531,5,2,1
oobss,488.056,3,2,1
oobss,291.463,5,2,1
oobss,317.979,2,2,1
oobss,232.66,5,2,1
oobss,247.715,5,2,1
oobss,333.925,3,2,1
oobss,330.6,3,2,1
oobss,167.666,3,2,1
oobss,321.305,3,2,1
oobss,334.39,2,2,1
oobss,236.178,3,2,1
oobss,370.465,3,2,1
oobss,165.691,2,2,1
oobss,319.26,4,2,1
oobss,303.707,4,2,1
oobss,307.036,3,2,1
oobss,276.025,2,2,1
oobss,390.449,4,2,1
oobss,310.538,4,2,1
oobss,183.965,3,2,1
oobss,366.084,4,2,1
oobss,278.2,4,2,1
oobss,172.657,2,2,1
oobss,227.952,5,2,1
oobss,255.936,4,2,1
oobss,416.727,2,2,1
oobss,396.639,6,2,1
oobss,354.214,3,2,1
oobss,312.72,3,2,1
oobss,379.542,3,2,1
oobss,220.905,4,2,1
oobss,215.31,3,2,1
oobss,224.829,5,2,1
oobss,155.075,3,2,1
oobss,174.446,3,2,1
oobss,471.255,3,2,1
oobss,347.371,4,2,1
oobss,244.688,3,2,1
oobss,284.011,6,2,1
oobss,308.739,3,2,1
oobss,289.786,3,2,1
oobss,302.657,2,2,1
oobss,332.153,3,2,1
oobss,425.54,3,2,1
oobss,361.456,3,2,1
oobss,314.803,4,2,1
oobss,157.939,4,2,1
oobss,311.487,4,2,1
oobss,416.542,4,2,1
oobss,345.224,4,2,1
oobss,397.859,4,2,1
oobss,571.145,3,2,1
oobss,207.885,4,2,1
oobss,339.359,3,2,1
oobss,221.313,3,2,1
oobss,383.892,5,2,1
oobss,249.93,4,2,1
oobss,225.56,4,2,1
oobss,321.091,3,2,1
oobss,142.078,4,2,1
oobss,400.257,4,2,1
oobss,205.087,4,2,1
oobss,333.888,3,2,1
oobss,317.109,4,2,1
oobss,281.814,5,2,1
oobss,346.852,3,2,1
oobss,409.915,4,2,1
oobss,418.931,4,2,1
oobss,404.059,3,2,1
oobss,267.919,4,2,1
oobss,278.475,3,2,1
oobss,299.324,2,2,1
oobss,348.907,5,2,1
oobss,352.434,5,2,1
oobss,302.634,5,2,1
oobss,233.059,4,2,1
oobss,240.838,4,2,1
oobss,259.343,4,2,1
oobss,329.12,4,2,1
oobss,366.154,4,2,1
oobss,260.271,5,2,1
oobss,277.517,3,2,1
oobss,338.483,4,2,1
oobss,293.121,3,2,1
oobss,301.479,4,2,1
oobss,223.567,5,2,1
oobss,278.052,4,2,1
oobss,298.658,4,2,1
oobss,365.714,5,2,1
oobss,361.889,6,2,1
oobss,298.944,5,2,1
oobss,192.34,5,2,1
oobss,335.24,3,2,1
oobss,271.512,4,2,1
oobss,206.813,4,2,1
oobss,287.221,2,2,1
oobss,336.967,3,2,1
oobss,379.029,3,2,1
oobss,314.986,5,2,1
oobss,239.033,3,2,1
oobss,258.85,4,2,1
oobss,280.184,3,2,1
oobss,290.989,4,2,1
oobss,348.258,3,2,1
oobss,361.055,4,2,1
oobss,227.275,4,2,1
oobss,197.786,5,2,1
oobss,215.21,2,2,1
oobss,296.217,4,2,1
oobss,363.168,4,2,1
oobss,366.257,6,2,1
oobss,221.826,3,2,1
oobss,404.962,6,2,1
oobss,296.605,6,2,1
oobss,231.595,5,2,1
oobss,245.957,4,2,1
oobss,284.026,3,2,1
oobss,230.159,5,2,1
oobss,299.24,5,2,1
oobss,200.339,5,2,1
oobss,332.628,5,2,1
oobss,265.866,4,2,1
oobss,351.729,6,2,1
oobss,301.317,3,2,1
oobss,191.55,3,2,1
oobss,271.865,4,2,1
oobss,420.309,3,2,1
oobss,295.185,3,2,1
oobss,327.426,4,2,1
oobss,243.875,5,2,1
oobss,300.767,2,2,1
oobss,282.215,6,2,1
oobss,208.164,5,2,1
oobss,354.514,4,2,1
oobss,462.797,4,2,1
oobss,192.286,5,2,1
oobss,332.871,4,2,1
oobss,339.843,6,2,1
oobss,294.755,4,2,1
oobss,272.224,6,2,1
oobss,358.004,5,2,1
oobss,283.25,3,2,1
oobss,309.244,6,2,1
oobss,362.59,5,2,1
oobss,158.538,5,2,1
oobss,304.644,4,2,1
oobss,315.149,3,2,1
oobss,257.628,4,2,1
oobss,160.65,5,2,1
oobss,386.107,7,2,1
oobss,356.874,5,2,1
oobss,498.621,5,2,1
oobss,266.225,6,2,1
oobss,417.132,3,2,1
oobss,297.683,2,2,1
oobss,347.219,4,2,1
oobss,301.764,4,2,1
oobss,199.651,6,2,1
oobss,348.301,5,2,1
oobss,323.453,5,2,1
oobss,204.243,6,2,1
oobss,312.765,3,2,1
oobss,286.489,3,2,1
oobss,220.165,4,2,1
oobss,357.497,6,2,1
oobss,245.295,4,2,1
oobss,298.86,7,2,1
oobss,340.539,7,2,1
oobss,255.446,7,2,1
oobss,417.757,3,2,1
oobss,264.328,3,2,1
oobss,286.37,7,2,1
oobss,257.72,6,2,1
oobss,558.342,6,2,1
oobss,225.743,6,2,1
oobss,348.915,4,2,1
oobss,330.627,6,2,1
oobss,288.401,4,2,1
oobss,223.501,4,2,1
oobss,289.81,5,2,1
oobss,264.129,5,2,1
oobss,228.636,4,2,1
oobss,269.446,5,2,1
oobss,229.348,5,2,1
oobss,327.898,4,2,1
oobss,190.495,3,2,1
oobss,372.23,4,2,1
oobss,357.24,4,2,1
oobss,280.266,4,2,1
oobss,476.768,3,2,1
oobss,217.66,4,2,1
oobss,242.391,3,2,1
oobss,266.849,4,2,1
oobss,333.755,5,2,1
oobss,458.708,2,2,1
oobss,373.751,4,2,1
oobss,335.499,6,2,1
oobss,316.296,5,2,1
oobss,290.837,6,2,1
oobss,184.732,6,2,1
oobss,247.997,6,2,1
oobss,424.187,4,2,1
oobss,269.864,5,2,1
oobss,291.571,4,2,1
oobss,400.519,4,2,1
oobss,352.562,4,2,1
oobss,324.788,5,2,1
oobss,323.752,4,2,1
oobss,340.054,4,2,1
oobss,396.086,3,2,1
oobss,396.955,6,2,1
oobss,220.766,3,2,1
oobss,290.495,4,2,1
oobss,233.906,3,2,1
oobss,298.36,4,2,1
oobss,340.821,4,2,1
oobss,404.345,3,2,1
oobss,230.831,4,2,1
oobss,205.936,5,2,1
oobss,371.767,4,2,1
oobss,289.011,3,2,1
oobss,285.407,4,2,1
oobss,325.143,4,2,1
oobss,235.596,4,2,1
oobss,246.306,3,2,1
oobss,171.426,4,2,1
oobss,342.777,3,2,1
oobss,225.988,4,2,1
oobss,222.43,3,2,1
oobss,409.747,4,2,1
oobss,220.908,4,2,1
oobss,207.897,6,2,1
oobss,259.001,5,2,1
oobss,405.076,6,2,1
oobss,333.034,5,2,1
oobss,215.114,4,2,1
oobss,278.276,5,2,1
oobss,368.588,4,2,1
oobss,211.56,4,2,1
oobss,396.881,4,2,1
oobss,211.704,5,2,1
oobss,303.123,4,2,1
oobss,318.52,4,2,1
oobss,433.253,3,2,1
oobss,190.178,4,2,1
oobss,240.834,3,2,1
oobss,219.183,4,2,1
oobss,316.112,3,2,1
oobss,347.566,3,2,1
oobss,175.327,4,2,1
oobss,173.653,3,2,1
oobss,274.848,4,2,1
oobss,279.597,4,2,1
oobss,160.345,4,2,1
oobss,301.01,3,2,1
oobss,175.4,3,2,1
oobss,223.092,5,2,1
oobss,401.063,5,2,1
oobss,194.096,5,2,1
oobss,225.211,3,2,1
oobss,230.835,4,2,1
oobss,291.907,5,2,1
oobss,313.073,4,2,1
oobss,408.393,5,2,1
oobss,369.989,4,2,1
oobss,360.176,4,2,1
oobss,294.934,5,2,1
oobss,208.933,4,2,1
oobss,185.271,5,2,1
oobss,360.409,4,2,1
oobss,296.057,3,2,1
oobss,369.046,4,2,1
oobss,226.579,4,2,1
oobss,333.895,4,2,1
oobss,313.442,4,2,1
oobss,302.09,5,2,1
oobss,361.151,4,2,1
oobss,450.955,3,2,1
oobss,293.545,4,2,1
oobss,366.622,4,2,1
oobss,217.792,3,2,1
oobss,297.074,4,2,1
oobss,343.538,4,2,1
oobss,225.546,3,2,1
oobss,279.106,4,2,1
oobss,258.453,4,2,1
oobss,395.564,5,2,1
oobss,248.796,2,2,1
oobss,321.018,5,2,1
oobss,379.154,3,2,1
oobss,357.547,4,2,1
oobss,359.966,5,2,1
oobss,157.993,4,2,1
oobss,258.912,5,2,1
oobss,222.306,5,2,1
oobss,369.123,2,2,1
oobss,253.95,3,2,1
oobss,176.11,6,2,1
oobss,379.943,3,2,1
oobss,327.128,5,2,1
oobss,280.743,4,2,1
oobss,417.749,4,2,1
oobss,294.067,2,2,1
oobss,319.212,5,2,1
oobss,285.33,3,2,1
oobss,387.44,4,2,1
oobss,291.952,4,2,1
oobss,222.356,2,2,1
oobss,284.762,2,2,1
oobss,402.402,4,2,1
oobss,397.004,3,2,1
oobss,188.166,4,2,1
oobss,261.861,3,2,1
oobss,349.25,4,2,1
oobss,276.494,3,2,1
oobss,168.988,3,2,1
