n,m,PUB:P,PUB:EV,PUB:MS,RET:P,RET:EV,RET:MS,Total
3,3,11.106,4.996,4.951,15.72,4.995,5.022,46.79208966748168
3,3,11.609,5.05,5.029,15.232,5.155,5.173,47.253511669017215
3,3,11.209,4.995,5.198,15.246,5.013,4.949,46.60766633848349
3,3,11.252,5.0,4.977,15.404,4.998,4.887,46.522332003708776
3,3,11.453,5.083,4.928,15.648,5.041,4.944,47.10143166448688
3,3,11.438,5.087,5.167,15.607,5.052,4.964,47.32139166541553
3,3,11.613,5.067,4.908,15.674,5.163,4.931,47.3599826618738
3,3,12.044,4.767,4.576,13.757,4.475,4.521,44.16197966687226
3,3,10.107,4.589,4.925,15.369,5.002,4.957,44.95444100272531
3,3,12.308,4.968,4.953,15.677,5.276,4.997,48.17218066940161
3,3,11.483,5.132,4.938,15.552,5.436,5.185,47.722739328795186
3,3,11.287,5.063,4.968,15.755,5.1,5.038,47.21798599954734
3,3,11.545,5.08,4.975,15.571,5.041,5.102,47.326470998086734
3,3,12.532,5.093,5.2,15.567,5.045,4.92,48.36229966652657
3,3,11.596,5.082,4.939,15.715,5.123,4.971,47.43184433391434
3,3,21.226,8.599,8.534,25.367,8.666,8.543,80.9722650058878
3,3,18.14,8.65,8.432,22.918,8.599,7.328,74.0918019982928
3,3,11.413,5.043,5.176,17.549,5.034,4.982,49.191347993958814
3,3,11.109,5.012,5.67,15.262,5.005,4.953,47.01562066353896
3,3,11.243,4.996,4.949,15.435,5.039,5.505,47.17708199920404
3,3,11.474,5.065,5.169,15.571,5.056,4.982,47.3265740001807
3,3,11.62,5.09,4.98,15.815,5.087,5.1,47.701424666835614
3,3,11.775,5.098,4.93,15.9,5.173,5.854,48.73764333994283
3,3,15.009,5.054,5.0,14.994,4.948,4.925,49.962779667112045
3,3,10.908,5.0,5.145,15.11,5.035,4.981,46.184086657982945
3,3,11.141,5.03,5.322,15.113,4.99,4.986,46.576650326945426
3,3,14.532,5.043,5.449,16.231,6.473,4.998,52.73229700348262
3,3,11.368,5.044,4.951,15.47,5.05,4.968,46.85282732558941
3,3,11.576,5.08,4.947,15.581,5.05,4.996,47.23856866015315
3,3,11.43,5.077,4.93,15.589,5.102,4.975,47.10758066236546
3,3,11.744,5.07,4.994,15.763,5.114,4.962,47.6640199982891
3,3,21.182,8.636,8.597,25.613,8.677,11.312,84.04552433057688
3,3,18.974,8.687,8.479,22.641,8.675,7.051,74.51970466233129
3,3,11.396,4.994,5.177,15.383,5.007,5.011,46.96384666385711
3,3,11.171,5.178,5.162,15.39,5.072,4.99,46.968935990056096
3,3,11.272,5.066,4.977,15.391,5.099,4.975,46.79017599846702
3,3,11.387,5.082,5.374,15.708,5.085,5.113,47.75648800932686
3,3,11.546,5.17,5.099,16.246,5.177,5.549,48.79169400616472
3,3,14.216,5.43,5.021,15.807,5.087,5.118,50.675260664623536
3,3,20.887,8.624,8.406,24.883,8.535,10.159,81.52908000677901
3,3,18.579,8.589,8.406,25.513,8.577,9.077,78.74982133944286
3,3,18.451,8.64,8.352,25.484,8.607,8.365,77.90909566150125
3,3,18.621,8.676,8.38,16.343,5.117,5.047,62.19486800667558
3,3,11.63,5.06,4.922,15.454,5.081,4.965,47.11382133124668
3,3,11.864,5.049,4.949,15.599,5.102,5.599,48.16567266607308
3,3,11.605,5.071,4.988,15.779,5.105,5.082,47.629340337152826
3,3,11.687,5.142,5.227,15.944,5.133,5.344,48.490248676292445
3,3,12.06,4.748,4.601,13.73,4.478,4.564,44.20715533099913
3,3,10.603,5.659,4.911,14.966,4.994,4.979,46.117330333800055
3,3,10.996,4.969,5.007,15.108,5.069,5.137,46.29119866391799
3,3,11.064,5.034,4.992,16.328,4.995,5.282,47.69776466370483
3,3,11.233,5.076,4.996,15.476,5.047,5.089,46.922720991763825
3,3,11.525,5.057,5.01,15.597,5.07,5.259,47.52476600212201
3,3,11.576,5.186,4.932,15.634,5.091,4.949,47.3736420002145
3,3,11.702,5.127,4.988,16.467,5.139,5.013,48.4449429968663
3,3,20.736,8.615,8.451,22.386,8.643,7.508,76.38614933845625
3,3,11.09,5.022,5.318,27.107,8.604,8.38,65.53502366659814
3,3,19.881,8.555,4.953,15.191,5.015,4.944,58.54317633444832
3,3,11.148,5.022,4.914,15.146,5.005,5.238,46.47363133578135
3,3,11.228,5.058,4.922,15.363,5.047,4.961,46.58857833419461
3,3,11.309,5.066,4.966,15.391,5.049,4.96,46.74727199987198
3,3,11.489,5.023,5.303,15.639,5.035,4.94,47.417329339320226
3,3,12.426,5.1,4.911,16.048,5.114,5.003,48.60942566422939
3,3,20.634,8.534,8.437,24.415,8.53,8.465,79.04896334002842
3,3,11.041,4.979,5.505,15.064,5.005,4.94,46.532693662205325
3,3,11.039,4.991,5.525,15.358,4.992,6.332,48.23576066822473
3,3,11.481,5.081,4.947,15.599,5.047,4.972,47.139908668517215
3,3,11.408,5.079,4.949,15.791,5.069,4.923,47.229862662788946
3,3,11.531,5.155,4.95,15.606,5.058,4.947,47.2339163303938
3,3,11.62,5.089,4.943,15.776,5.1,5.015,47.549900332038916
3,3,11.805,5.114,5.046,15.894,5.125,5.068,48.056439000599006
3,3,14.737,5.221,5.055,15.23,5.003,5.093,50.37036432986497
3,3,12.07,5.061,5.595,15.248,5.04,5.047,48.078668334104194
3,3,11.523,5.088,5.001,15.136,5.19,5.176,47.115597002023904
3,3,11.567,5.034,4.958,16.697,5.077,4.979,48.30420199747702
3,3,11.38,5.061,4.931,16.07,5.087,5.013,47.54858699501104
3,3,11.534,5.317,5.135,15.776,5.164,5.013,47.94624800463983
3,3,11.619,5.196,4.949,15.789,5.163,4.989,47.71696900449266
3,3,11.82,5.152,5.044,15.98,5.199,5.051,48.25291366190261
3,3,20.975,8.535,8.457,22.664,8.677,11.368,80.69743499800097
3,3,11.004,4.989,4.93,17.815,5.098,5.002,48.831046004731135
3,3,11.138,5.143,4.968,15.346,5.037,6.75,48.36744766726042
3,3,11.401,5.055,4.998,15.571,5.1,4.993,47.12154199902822
3,3,11.419,5.096,4.98,15.419,5.03,5.005,46.9527290018353
3,3,11.753,5.097,5.008,16.064,5.09,5.038,48.03966233642616
3,3,11.755,5.089,4.938,15.966,5.116,5.01,47.87816033664664
3,3,11.941,5.165,5.131,17.73,5.154,5.054,50.178641999082174
3,3,19.35,8.206,7.838,21.847,7.95,7.31,72.53925200833086
3,3,11.092,4.97,4.999,15.058,4.998,5.044,46.1632199997742
3,3,11.095,4.964,5.04,31.628,8.711,8.504,69.9357093362778
3,3,18.926,8.679,8.447,26.544,8.599,8.513,79.7208739980609
3,3,18.944,8.641,8.369,26.393,8.613,8.511,79.47920867081848
3,3,19.323,8.698,8.455,26.282,8.688,8.512,79.97338033601409
3,3,19.569,8.667,8.459,26.677,8.782,8.465,80.61442332837032
3,3,19.944,8.811,7.07,16.034,5.109,6.44,63.42557999960264
3,3,19.148,8.047,7.711,18.043,7.961,4.986,65.92666133898697
3,3,11.106,4.961,4.928,15.128,4.968,5.103,46.1991410011251
3,3,11.093,4.989,5.136,15.109,5.052,5.754,47.13711800165281
3,3,11.191,5.013,4.954,15.274,5.049,5.024,46.50720266969681
3,3,11.208,5.009,5.097,15.388,5.041,4.951,46.69873467112969
3,3,11.355,5.006,4.956,27.279,8.762,8.407,65.78679399657024
3,3,19.473,8.736,8.394,26.724,8.724,8.557,80.60562032672655
3,3,19.837,8.829,8.442,27.333,8.794,8.456,81.69918433607867
3,3,13.167,5.214,4.973,14.993,4.943,4.953,48.2702873305243
3,3,11.089,4.945,4.919,15.288,5.044,4.939,46.227107995946426
3,3,11.032,4.971,4.946,15.4,4.983,5.022,46.3595743397794
3,3,11.175,5.022,4.96,18.271,5.066,4.964,49.46071733138524
3,3,11.4,5.028,5.135,15.334,5.028,4.953,46.88031099916164
3,3,11.397,5.077,4.949,15.753,5.073,5.004,47.276287996889245
3,3,11.655,5.073,4.955,15.779,5.143,5.245,47.84423866779738
3,3,12.075,5.105,5.327,16.113,5.124,5.655,49.408053003086636
3,3,19.309,8.206,7.838,24.811,7.95,8.542,76.69373999912447
3,3,11.616,4.921,5.337,15.205,4.938,5.0,47.02240200519251
3,3,11.084,5.019,5.912,17.036,7.033,5.31,51.3843173236334
3,3,11.543,4.992,4.928,15.083,5.011,4.93,46.490678996633505
3,3,11.346,5.019,4.944,15.581,5.033,4.944,46.87153432920847
3,3,11.383,5.039,5.006,15.458,5.04,4.949,46.889668666456906
3,3,11.495,5.065,4.948,15.578,5.037,4.953,47.08895300185152
3,3,12.011,5.061,4.961,15.998,5.12,4.963,48.11509066591195
3,3,12.056,5.144,5.219,16.758,5.121,5.25,49.55070933162157
3,3,13.746,5.112,5.945,16.454,5.113,4.923,51.2966576643521
3,3,12.293,5.115,4.961,16.031,5.117,4.977,48.49561566637324
3,3,12.472,5.129,5.023,17.374,5.175,5.006,50.18337900401093
3,3,12.272,5.159,5.075,17.418,5.179,5.021,50.12251099469722
3,3,12.4,5.232,4.946,16.497,5.277,5.059,49.415535334749926
3,3,13.259,5.209,4.956,16.791,5.196,5.429,50.84754865917299
3,3,12.487,5.242,4.952,16.607,5.276,4.968,49.53423866027151
3,3,11.817,5.092,5.406,15.948,5.106,5.061,48.427804670306315
3,3,11.758,5.077,4.928,15.882,5.067,4.918,47.636697995282404
3,3,12.043,5.123,5.055,16.341,5.125,4.943,48.64496733959338
3,3,11.959,5.085,4.901,16.177,5.104,5.495,48.72571833281351
3,3,12.435,5.171,5.17,17.52,5.193,5.019,50.51541933183519
3,3,12.54,5.211,4.958,16.592,5.188,5.018,49.5101346593098
3,3,12.457,5.191,4.958,16.673,5.213,5.088,49.58678733479853
3,3,12.568,5.264,4.935,16.825,5.241,4.991,49.827580666412054
3,3,11.782,5.055,4.999,16.119,5.136,5.011,48.09236166693154
3,3,11.919,5.151,4.941,15.988,5.138,5.208,48.35056967446387
3,3,12.586,5.18,4.963,16.187,5.132,4.957,49.013563999324106
3,3,13.768,5.123,5.246,16.414,5.162,4.967,50.67118466467946
3,3,12.416,5.227,4.981,17.069,5.184,5.042,49.920669999361664
3,3,12.807,5.208,4.991,16.758,5.235,5.055,49.94747199695364
3,3,12.488,5.226,4.996,16.718,5.239,5.001,49.67306766532904
3,3,12.635,5.238,4.972,17.793,5.501,6.137,52.28830299893161
3,3,11.799,5.136,4.945,15.959,5.131,5.01,47.98460033149846
3,3,11.968,5.149,4.949,16.059,5.161,5.044,48.33948699282094
3,3,11.903,5.177,4.995,16.178,5.178,4.985,48.42296932838508
3,3,12.639,5.197,5.289,16.555,5.236,5.04,49.94932499660838
3,3,12.336,5.221,5.003,16.454,5.472,4.964,49.45591566380851
3,3,12.468,5.23,4.967,16.704,5.197,5.048,49.62329166786124
3,3,13.193,5.221,4.972,16.84,5.216,6.303,51.73814267012252
3,3,12.81,5.303,5.62,17.39,5.322,5.018,51.44338067232941
3,3,12.364,5.068,5.25,16.168,5.094,5.04,48.99007832985565
3,3,11.894,5.119,4.944,15.978,5.115,4.972,48.01631299778819
3,3,12.002,5.133,4.938,16.316,5.124,4.953,48.47423267104507
3,3,12.437,5.111,5.048,17.272,6.11,5.517,51.49910367375317
3,3,12.384,5.161,5.084,16.495,5.198,5.088,49.40281933522783
3,3,13.172,5.219,4.931,16.797,5.191,5.01,50.32756900739817
3,3,12.37,5.196,4.933,16.63,5.196,5.051,49.386791664195094
3,3,12.577,5.237,5.029,16.939,5.304,4.983,50.07011099830076
3,3,11.774,5.106,5.01,16.036,5.119,5.066,48.11504133370666
3,3,12.59,5.098,4.977,16.621,5.117,4.946,49.35213433297273
3,3,11.99,5.124,4.945,16.683,5.138,5.407,49.29757734013644
3,3,12.114,5.13,4.931,21.079,5.121,5.036,53.420689341389036
3,3,12.161,5.248,4.957,16.266,5.158,4.989,48.78338066555443
3,3,13.158,5.181,5.011,16.772,5.261,4.987,50.35031466104556
3,3,12.469,5.197,4.954,16.746,5.198,5.772,50.333064998994814
3,3,12.96,5.214,6.141,21.235,5.4,5.074,56.03473399484453
3,3,13.598,5.116,7.018,16.96,5.156,5.366,53.225209663651185
3,3,11.89,5.115,4.977,15.875,5.117,4.983,47.96279400276641
3,3,11.895,5.152,4.967,16.085,5.153,4.991,48.2475966734152
3,3,12.37,5.16,4.955,16.584,5.207,5.006,49.283739660798645
3,3,12.329,5.176,4.935,16.263,5.15,5.324,49.18102200705714
3,3,12.39,5.172,5.033,16.833,5.239,4.937,49.60709833782555
3,3,12.362,5.179,4.943,16.635,5.18,4.986,49.29183099739021
3,3,12.547,5.216,4.947,16.657,5.256,5.259,49.871661667566514
3,3,11.97,5.11,4.975,16.017,5.185,5.265,48.52390599747499
3,3,12.779,5.142,5.087,16.103,5.135,5.139,49.3800719959836
3,3,11.864,5.119,4.922,15.982,5.132,4.983,48.00906033051433
3,3,12.451,5.804,6.652,16.497,5.191,5.045,51.64316333442305
3,3,12.949,5.163,4.892,16.341,5.166,5.096,49.612815668903444
3,3,12.355,5.198,5.048,16.89,5.186,5.051,49.74155966435016
3,3,12.384,5.194,4.95,16.658,5.255,4.979,49.428401665257596
3,3,13.002,5.246,5.469,16.776,5.233,5.042,50.77761866414221
3,3,11.703,5.056,4.972,15.755,5.103,4.959,47.551722672020944
3,3,12.307,5.117,5.216,16.034,5.108,5.204,48.97772333545921
3,3,11.974,5.134,4.964,16.127,5.121,5.062,48.3847089963092
3,3,12.05,5.142,4.977,18.109,5.167,4.957,50.40353766283563
3,3,12.126,5.145,4.971,16.769,5.164,5.314,49.49104933378597
