Timestamp,Name,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
2025-06-05T21:37:03,scheduler,0.00,17.8MiB,0.03,323kB,0B,1
2025-06-05T21:37:03,jodi-cache,12.85,19.74MiB,0.03,427MB,0B,6
2025-06-05T21:37:16,evaluator,397.44,370.9MiB,0.59,207MB,0B,5
2025-06-05T21:37:16,auditlog,16.76,253.6MiB,0.40,999MB,0B,5
2025-06-05T21:37:16,keyrotation,0.00,17.22MiB,0.03,10.8kB,0B,1
2025-06-05T21:37:16,message-store,396.89,385.3MiB,0.61,281MB,0B,5
2025-06-05T21:37:16,als_client_worker,2.86,19.39MiB,0.03,295MB,0B,2
2025-06-05T21:37:16,als_server_worker,0.00,19.38MiB,0.03,1.18MB,0B,2
2025-06-05T21:37:16,scheduler,0.00,17.8MiB,0.03,340kB,0B,1
2025-06-05T21:37:16,jodi-cache,14.08,17.86MiB,0.03,456MB,0B,6
2025-06-05T21:37:28,evaluator,378.92,380.6MiB,0.61,220MB,0B,5
2025-06-05T21:37:28,auditlog,0.57,255.5MiB,0.41,1.06GB,0B,5
2025-06-05T21:37:28,keyrotation,0.00,17.22MiB,0.03,11.2kB,0B,1
2025-06-05T21:37:28,message-store,385.37,395.6MiB,0.63,298MB,0B,5
2025-06-05T21:37:28,als_client_worker,219.94,68.18MiB,0.11,316MB,0B,34
2025-06-05T21:37:28,als_server_worker,204.70,19.39MiB,0.03,1.21MB,0B,2
2025-06-05T21:37:28,scheduler,0.40,17.8MiB,0.03,359kB,0B,1
2025-06-05T21:37:28,jodi-cache,12.78,17.64MiB,0.03,484MB,0B,6
2025-06-05T21:37:41,evaluator,397.04,389.9MiB,0.62,233MB,0B,5
2025-06-05T21:37:41,auditlog,29.97,249MiB,0.40,1.13GB,0B,5
2025-06-05T21:37:41,keyrotation,0.08,17.22MiB,0.03,11.9kB,0B,1
2025-06-05T21:37:41,message-store,396.68,406.8MiB,0.65,316MB,0B,5
2025-06-05T21:37:41,als_client_worker,65.28,19.41MiB,0.03,333MB,0B,2
2025-06-05T21:37:41,als_server_worker,9.53,19.39MiB,0.03,1.23MB,0B,2
2025-06-05T21:37:41,scheduler,0.00,17.8MiB,0.03,376kB,0B,1
2025-06-05T21:37:41,jodi-cache,12.71,17.54MiB,0.03,513MB,0B,6
2025-06-05T21:37:54,evaluator,382.49,400.6MiB,0.64,246MB,0B,5
2025-06-05T21:37:54,auditlog,0.58,250.3MiB,0.40,1.19GB,0B,5
2025-06-05T21:37:54,keyrotation,0.00,17.22MiB,0.03,12.2kB,0B,1
2025-06-05T21:37:54,message-store,382.16,417.5MiB,0.66,333MB,0B,5
2025-06-05T21:37:54,als_client_worker,178.61,40.2MiB,0.06,351MB,0B,34
2025-06-05T21:37:54,als_server_worker,171.99,36.48MiB,0.06,1.25MB,0B,34
2025-06-05T21:37:54,scheduler,0.36,17.8MiB,0.03,395kB,0B,1
2025-06-05T21:37:54,jodi-cache,12.80,21.64MiB,0.03,544MB,0B,6
2025-06-05T21:38:07,evaluator,391.93,409.5MiB,0.65,259MB,0B,5
2025-06-05T21:38:07,auditlog,0.57,253.2MiB,0.40,1.24GB,0B,5
2025-06-05T21:38:07,keyrotation,0.00,17.22MiB,0.03,12.6kB,0B,1
2025-06-05T21:38:07,message-store,383.90,428.4MiB,0.68,351MB,0B,5
2025-06-05T21:38:07,als_client_worker,223.26,27.03MiB,0.04,371MB,0B,4
2025-06-05T21:38:07,als_server_worker,209.09,19.39MiB,0.03,1.28MB,0B,2
2025-06-05T21:38:07,scheduler,0.39,17.8MiB,0.03,411kB,0B,1
2025-06-05T21:38:07,jodi-cache,13.32,17.58MiB,0.03,572MB,0B,6
2025-06-05T21:38:19,evaluator,397.09,418.8MiB,0.67,272MB,0B,5
2025-06-05T21:38:19,auditlog,21.06,252.9MiB,0.40,1.31GB,0B,5
2025-06-05T21:38:19,keyrotation,0.00,17.22MiB,0.03,13kB,0B,1
2025-06-05T21:38:20,message-store,374.57,437.1MiB,0.70,367MB,0B,5
2025-06-05T21:38:20,als_client_worker,19.87,19.4MiB,0.03,388MB,0B,2
2025-06-05T21:38:20,als_server_worker,0.00,19.39MiB,0.03,1.3MB,0B,2
2025-06-05T21:38:20,scheduler,0.00,17.8MiB,0.03,428kB,0B,1
2025-06-05T21:38:20,jodi-cache,13.87,17.69MiB,0.03,601MB,0B,6
2025-06-05T21:38:32,evaluator,389.83,428.5MiB,0.68,285MB,0B,5
2025-06-05T21:38:32,auditlog,0.56,251.9MiB,0.40,1.37GB,0B,5
2025-06-05T21:38:32,keyrotation,0.00,17.22MiB,0.03,13.7kB,0B,1
2025-06-05T21:38:32,message-store,387.98,447.9MiB,0.71,386MB,0B,5
2025-06-05T21:38:32,als_client_worker,190.15,64.88MiB,0.10,409MB,0B,34
2025-06-05T21:38:32,als_server_worker,176.35,19.49MiB,0.03,1.33MB,0B,2
2025-06-05T21:38:32,scheduler,0.39,17.8MiB,0.03,447kB,0B,1
2025-06-05T21:38:32,jodi-cache,12.69,17.82MiB,0.03,627MB,0B,6
2025-06-05T21:38:45,evaluator,396.15,438.4MiB,0.70,298MB,0B,5
2025-06-05T21:38:45,auditlog,19.75,255.5MiB,0.41,1.44GB,0B,5
2025-06-05T21:38:45,keyrotation,0.00,17.22MiB,0.03,14kB,0B,1
2025-06-05T21:38:45,message-store,396.25,459.3MiB,0.73,404MB,0B,5
2025-06-05T21:38:45,als_client_worker,60.63,19.39MiB,0.03,426MB,0B,2
2025-06-05T21:38:45,als_server_worker,36.74,19.38MiB,0.03,1.35MB,0B,2
2025-06-05T21:38:45,scheduler,0.00,17.8MiB,0.03,464kB,0B,1
2025-06-05T21:38:45,jodi-cache,12.77,17.85MiB,0.03,656MB,0B,6
2025-06-05T21:38:58,evaluator,397.28,448.6MiB,0.71,310MB,0B,5
2025-06-05T21:38:58,auditlog,3.90,252.6MiB,0.40,1.5GB,0B,5
2025-06-05T21:38:58,keyrotation,0.00,17.22MiB,0.03,14.4kB,0B,1
2025-06-05T21:38:58,message-store,396.20,469.9MiB,0.75,421MB,0B,5
2025-06-05T21:38:58,als_client_worker,4.44,25.22MiB,0.04,443MB,0B,6
2025-06-05T21:38:58,als_server_worker,0.90,22.56MiB,0.04,1.38MB,0B,3
2025-06-05T21:38:58,scheduler,0.37,17.8MiB,0.03,483kB,0B,1
2025-06-05T21:38:58,jodi-cache,13.90,17.61MiB,0.03,684MB,0B,6
2025-06-05T21:39:11,evaluator,388.92,457.7MiB,0.73,323MB,0B,5
2025-06-05T21:39:11,auditlog,0.56,252.4MiB,0.40,1.56GB,0B,5
2025-06-05T21:39:11,keyrotation,0.00,17.22MiB,0.03,14.7kB,0B,1
2025-06-05T21:39:11,message-store,388.43,481.2MiB,0.77,439MB,0B,5
2025-06-05T21:39:11,als_client_worker,226.28,73.98MiB,0.12,464MB,0B,34
2025-06-05T21:39:11,als_server_worker,193.54,19.39MiB,0.03,1.4MB,0B,2
2025-06-05T21:39:11,scheduler,0.53,17.8MiB,0.03,500kB,0B,1
2025-06-05T21:39:11,jodi-cache,12.44,19.76MiB,0.03,712MB,0B,6
2025-06-05T21:39:23,evaluator,397.04,467.4MiB,0.74,336MB,0B,5
2025-06-05T21:39:23,auditlog,23.94,247.3MiB,0.39,1.63GB,0B,5
2025-06-05T21:39:23,keyrotation,0.00,17.22MiB,0.03,15.4kB,0B,1
2025-06-05T21:39:23,message-store,387.39,489.9MiB,0.78,455MB,0B,5
2025-06-05T21:39:23,als_client_worker,39.78,19.4MiB,0.03,481MB,0B,2
2025-06-05T21:39:23,als_server_worker,0.00,19.39MiB,0.03,1.42MB,0B,2
2025-06-05T21:39:23,scheduler,0.00,17.8MiB,0.03,516kB,0B,1
2025-06-05T21:39:23,jodi-cache,12.37,25.11MiB,0.04,743MB,0B,6
